episode,guests,score,tabarnak,criss,osti,fuck,caliss,pénis,merde,pédophile,graine,marde,porn,sperme,tabarouette,tabarnouche
149,Maxime Gervais et Dom Massi des Pic Bois,85.8,10,53,6,5,4,6,null,3,null,1,2,1,null,null
189,Olivier Martineau et Derrick Frenette,80.2,17,35,8,10,3,2,2,null,6,1,4,null,null,null
134,Didier Lambert et Ben Lefebvre,78.2,21,33,7,9,4,2,2,null,1,2,2,1,null,null
227,Mariana Mazza et Justine Phillie,77.2,8,50,6,9,2,1,null,null,1,5,null,null,null,null
144,Guy Nantel et Paul Boissonneault,74,15,27,15,8,0,5,3,null,3,2,2,null,null,null
170,Anthony Montreuil et Jean-Thomas Jobin,73.4,12,25,15,7,2,7,5,null,4,2,null,1,null,1
184,Jerr Allain et Jacob Ospian-Echeverria,72.6,24,29,8,6,0,null,4,3,null,1,1,null,null,null
277,Les Denis Drolet,70.8,20,36,11,2,1,null,1,null,null,1,null,null,null,null
235,Alex Perron et Christine Morency,70.8,19,39,3,2,1,3,1,null,5,1,null,1,null,null
157,Cathy Gauthier et Gabrielle Caron,70.2,13,28,11,8,0,3,2,6,2,1,2,null,null,null
213,Jean-Thomas Jobin et Sébastien Dubé,67,15,24,13,4,3,2,2,1,1,1,null,7,null,null
245,Jeremy Demay et Olivier Martineau,65.4,35,21,1,3,3,1,2,null,1,1,null,null,null,null
168,Nelson Harvey et Stéphane Fallu,64.2,11,34,7,5,1,3,4,null,1,null,1,1,null,null
250,Maxim Martin et Jean-François Mercier,62.8,23,29,3,4,5,null,null,null,1,null,null,null,null,null
187,Guillaume Pineault et Alexandre Forest,58.8,8,32,6,5,0,2,1,2,null,1,7,null,null,null
210,Charles Deschamps et Mehdi Bousaidan,58.8,8,32,6,4,5,6,1,null,null,null,null,null,null,null
169,Sam Lemieux et Philippe Laprise,58.6,16,22,5,12,1,2,2,1,1,1,null,null,null,null
202,Chauffé Éclairé,57.2,13,30,5,2,5,2,1,null,null,1,null,1,null,null
196,Jean-François Mercier et Faf,57.2,18,16,14,1,0,null,3,7,null,null,null,null,null,1
165,Adib Alkhalidey et Julien Lacroix,57,9,19,5,15,3,1,1,7,1,2,1,null,null,null
143,Julien Lacroix et José Gaudet,57,12,22,10,2,7,3,1,1,3,null,null,null,null,null
159,Guillaume Wagner et Jo Cormier,56.8,3,20,15,8,2,null,2,10,1,1,null,null,null,null
154,Christine Morency et Didier Lambert,56.8,14,26,7,3,3,2,null,2,null,3,null,null,null,null
217,Jey Fournier et Guillaume Pineault,56.4,13,21,17,2,3,null,1,null,null,null,1,null,null,null
279,Martin Matte et Arnaud Soly,55.8,8,26,8,10,3,null,null,3,null,null,1,null,1,null
224,Thomas Levac et Pascal Cameron,55.2,15,9,10,1,5,13,null,null,null,1,8,1,null,null
256,Yannick de Martino et Julien Lacroix,54.8,10,23,10,4,4,5,1,null,1,null,null,null,null,null
262,Faf et Yan Thériault,54.8,15,21,10,1,2,1,null,1,null,1,7,null,null,null
116,Vincent C. et Ben Lefebvre,54.2,12,22,6,8,6,2,1,null,null,1,null,null,null,null
119,Jay Du Temple et Sam Breton,54,14,22,9,3,2,2,2,null,1,2,null,null,null,null
258,Sébastien Dubé et Martin Dubé,54,10,22,14,1,4,null,1,4,null,null,null,null,null,null
193,Odrée Rousseau et Pierre-Luc Racine,54,10,26,9,5,3,1,null,null,null,2,1,null,null,null
242,Jean-Claude Gélinas et François Léveillée,53.6,14,22,11,1,2,2,null,1,1,2,null,null,null,null
208,Jerr Allain et Antoni Rémillard,52.8,16,22,3,5,2,2,2,null,3,2,null,null,null,null
246,Matthieu Pepper et Marie-Lyne Joncas,52.8,15,21,8,1,5,3,null,2,null,null,null,null,null,null
195,Yannick De Martino et Alexandre Bisaillon,52.4,15,21,8,5,1,3,null,null,null,null,2,null,null,null
192,Mario Tessier et Mathieu Cyr,52.2,9,22,4,6,5,1,2,4,1,2,1,null,1,null
266,MC Gilles et Fabien Cloutier,52.2,19,20,6,1,1,null,1,3,1,2,1,null,null,null
261,Sèxe Illégal,51.8,17,22,5,5,2,null,1,1,null,null,1,null,null,null
232,Sam Breton et Pierre-Yves Roy Desmarais,51.4,15,19,8,6,1,null,null,4,null,null,1,null,null,null
174,PB Rivard et Julien Durden,51.2,9,18,8,10,4,4,null,null,null,2,null,1,null,null
178,Catherine Ethier et Jean-François Provençal,51.2,6,18,13,7,6,4,null,null,null,null,1,null,null,null
276,Mélanie Couture et Mathieu Cyr,51.2,12,22,10,6,3,null,null,null,null,null,null,null,null,null
219,Yannick De Martino et Pierre-Olivier Forget,50.2,12,31,2,2,0,3,null,null,1,null,1,null,null,null
274,France D'Amour et Jerr Allain,50.2,23,12,6,5,2,1,1,1,1,1,null,null,null,null
225,Laurent Paquin et Anaïs Favron,50,3,20,13,7,4,null,2,1,null,3,1,null,1,null
180,Maude Landry et Frank Grenier,50,7,22,8,5,2,null,3,1,null,6,1,null,null,null
272,Arnaud Soly et Félix Turcotte,50,7,10,13,6,3,12,1,null,1,null,3,null,null,null
179,Julien Bernatchez et Martin Mallette,49.8,5,20,8,17,0,null,3,1,null,null,null,null,null,null
270,Mehdi Bousaidan et Nic Audet,49.6,14,20,6,6,3,null,null,null,null,2,null,null,3,null
252,Martin Perizzolo et Val Belzil,49.4,13,18,9,4,2,3,2,null,null,null,1,null,null,null
237,Guy Nantel et Pantelis,48.6,11,19,6,7,5,null,3,null,null,null,null,1,null,null
172,François Tousignant et Jerr Allain,48.6,15,14,4,5,5,2,3,null,3,2,1,null,null,null
238,Maxime Gervais et Julien Bernatchez,48.6,10,29,1,1,1,7,1,null,null,null,null,1,null,null
223,Stéphane Fallu et Marko Métivier,48,11,17,6,4,1,7,null,4,2,null,null,null,null,null
278,Patrick Groulx et Daniel Grenier,48,7,20,10,5,5,null,null,null,null,1,2,null,1,2
233,Charles Beauchesne et Catherine Éthier,48,3,17,10,5,4,10,1,1,null,null,null,2,null,null
138,Pierre-Bruno Rivard et Alexandre Bisaillon,48,14,15,8,10,1,1,1,null,1,null,null,null,null,null
259,James Mannella et Ben Lefebvre,47.8,9,21,8,5,2,null,null,3,null,2,1,null,null,null
241,Simon Portelance et Simon Trottier,47.8,9,28,2,1,2,1,null,1,2,2,4,null,null,null
269,Olivier Aubin-Mercier et Virginie Fortin,47.6,14,17,11,6,0,1,null,null,null,null,null,null,null,null
185,Christine Morency et Erich Preach,47.6,15,20,3,11,0,null,1,null,null,null,null,null,null,null
203,Étienne Dano et Martin Vachon,47.4,11,16,7,11,0,null,1,4,1,null,null,null,null,null
175,Sam Breton et Pat Laperrière,47.4,8,25,5,6,3,null,2,null,null,1,null,null,null,null
190,Laurent Paquin et Christian Viau,47,7,21,8,8,3,null,1,null,null,1,null,null,2,null
207,Julien Lacroix et Jo Cormier,46.6,7,23,11,3,2,1,1,null,null,null,null,null,null,null
218,Julien Bernatchez et Louis T,46.4,7,14,4,11,2,4,3,6,null,null,null,1,null,null
145,Les Denis Drolet,46.4,18,17,10,1,0,null,null,null,null,1,null,null,null,null
251,Guillaume Wagner et Anas Hassouna,45.8,9,16,11,5,3,2,null,null,null,3,null,null,null,null
253,Patrick Groulx et Nadine Massie,45,11,17,10,4,0,2,2,null,null,1,null,null,null,null
186,Mario Bélanger et Louis Courchesne,44.8,9,19,8,3,4,1,3,null,null,null,null,null,null,null
132,Mike Beaudoin et Jérémie Larouche,44.4,4,16,7,6,2,6,1,null,4,3,2,null,null,null
275,Étienne Dano et François Bellefeuille,43.8,5,20,9,6,1,3,null,null,2,null,1,null,null,null
271,Laurent Paquin et Sylvain Larocque,43.2,6,16,8,3,0,6,null,null,2,null,8,null,null,null
197,Maxim Martin et Dominic Paquet,42.6,7,20,7,3,4,2,null,1,null,1,null,null,null,null
194,Crampe En Masse,42.2,6,20,11,2,1,null,1,1,null,2,null,null,null,null
249,Korine Côté et Frank Grenier,42,9,23,2,7,3,null,null,null,null,null,null,null,null,null
147,Mélanie Couture et Émilie Ouellette,42,4,24,1,4,1,8,1,1,1,null,null,null,1,null
221,Roxane Bruneau  et Martin Cloutier,41.8,3,23,4,6,3,2,null,null,1,null,4,null,null,null
188,Christopher Williams et Renaud Lefort,41.4,4,27,3,5,1,null,null,1,1,1,1,null,null,null
200,Jean-Michel Anctil et Sebastien Ouellet,41.2,15,8,11,3,4,null,2,null,null,null,null,null,null,null
239,Denis Talbot et Jerr Allain,41,9,19,6,3,2,null,3,null,1,null,null,null,null,null
141,Matthieu Pepper et Pierre-Yves Roy Desmarais,40.8,8,23,2,0,3,null,3,null,1,2,2,null,null,null
171,Vincent Léonard et Pierre Ouimet,40.8,4,15,9,4,1,4,1,3,1,2,null,1,null,null
142,Jean-Thomas Jobin et Simon-Olivier Fecteau,40.4,8,12,2,5,4,8,1,2,1,1,2,null,null,null
164,Richardson Zéphir et Kevin Raphaël,39.2,4,18,8,3,2,3,null,2,1,1,null,null,null,null
243,Jean-Thomas Jobin et Daniel Grenier,39.2,5,14,8,4,2,6,null,2,1,null,null,null,null,1
198,Ghislain Taschereau et Jacques Chevalier,39.2,5,16,9,5,2,2,1,null,1,null,1,null,null,null
128,Mathieu Cyr et Pascal Cameron,38.8,6,23,3,2,2,null,1,2,1,null,1,null,null,null
264,Sébastien Bourgault et Preach,38.2,5,13,14,2,3,2,null,null,null,1,null,null,null,null
160,Etienne Dano et Jo Guérin,38,11,14,9,2,1,2,null,null,null,null,null,null,null,null
162,Jay Du Temple & Charles Pellerin,37.8,2,16,8,5,3,4,2,null,1,null,null,null,null,null
131,Alex Roof et Jerr Allain,37.8,18,13,1,5,0,null,null,null,1,1,1,null,null,null
260,Vincent Léonard et Marc-André Fleury,37.8,7,14,6,1,2,4,1,1,2,null,4,null,null,null
140,Phil Roy et Steven Paquin,37.4,6,21,3,3,2,1,1,null,1,2,null,null,null,null
215,Poseidon et Pantelis,37.2,7,11,3,6,1,7,3,1,1,null,2,null,null,null
267,Jean-René Dufort et Jean-Thomas Jobin,37.2,14,15,7,1,0,null,null,null,null,null,null,null,1,null
226,Michelle Desrochers et François Bellefeuille,36.8,11,11,5,4,3,1,1,1,1,2,null,null,null,null
268,Derek Séguin et Julien Dionne,36.8,4,21,4,7,1,1,null,null,null,1,null,null,null,null
199,Arnaud Soly et Matthieu Pepper,36.4,10,12,8,5,0,2,1,null,null,null,null,null,null,null
151,Jean-François Mercier et Jean-François Baril,36.2,7,12,6,4,5,null,2,null,2,2,null,null,null,null
163,Samuel Tétreault et Yannick De Martino,36.2,8,9,8,4,4,1,2,null,1,null,3,null,null,null
133,François Maranda et Jean-Marie Corbeil,36,2,18,3,1,5,3,1,4,1,1,null,1,null,null
122,Matthieu Pepper et Pierre-Luc Pomerleau,35.8,4,10,14,4,3,null,2,null,null,null,null,1,null,null
191,Lise Dion et Ève Coté,35.8,7,13,6,6,4,null,null,null,null,null,2,1,null,null
220,Rosalie Vaillancourt et Simon Boisvert,35.6,11,9,6,3,2,2,5,null,null,null,null,null,null,null
255,Patrice L'Écuyer et Simon Gouache,35.4,5,14,10,1,6,null,1,null,null,null,null,null,null,null
158,Marie-Lyne Joncas et Sacha Bourque,35.4,3,15,7,1,4,5,null,null,3,1,null,null,null,null
